games, numTurns, whoWon, yourStrat, CardsInDeck
1,16,player 1,opp Guess,6
2,4,player 2,opp Guess,30
3,6,player 2,opp Guess,26
4,5,player 1,opp Guess,28
5,3,player 1,opp Guess,32
6,3,player 1,opp Guess,32
7,7,player 1,opp Guess,24
8,8,player 1,opp Guess,22
9,5,player 2,opp Guess,28
10,19,player 2,opp Guess,0
11,6,player 2,opp Guess,26
12,5,player 2,opp Guess,28
13,5,player 2,opp Guess,28
14,14,player 2,opp Guess,10
15,19,player 2,opp Guess,0
16,7,player 2,opp Guess,24
17,19,player 1,opp Guess,0
18,19,player 1,opp Guess,0
19,19,player 2,opp Guess,0
20,19,player 1,opp Guess,0
21,9,player 1,opp Guess,20
22,11,player 1,opp Guess,16
23,10,player 2,opp Guess,18
24,19,player 2,opp Guess,0
25,11,player 2,opp Guess,16
26,19,player 2,opp Guess,0
27,19,player 2,opp Guess,0
28,9,player 2,opp Guess,20
29,12,player 1,opp Guess,14
30,19,player 2,opp Guess,0
31,3,player 1,opp Guess,32
32,18,player 1,opp Guess,2
33,6,player 1,opp Guess,26
34,19,player 1,opp Guess,0
35,19,player 1,opp Guess,0
36,17,player 2,opp Guess,4
37,19,player 2,opp Guess,0
38,19,player 1,opp Guess,0
39,18,player 1,opp Guess,2
40,19,player 1,opp Guess,0
41,19,player 2,opp Guess,0
42,19,player 1,opp Guess,0
43,19,player 2,opp Guess,0
44,15,player 2,opp Guess,8
45,5,player 2,opp Guess,28
46,8,player 2,opp Guess,22
47,7,player 2,opp Guess,24
48,19,player 2,opp Guess,0
49,11,player 2,opp Guess,16
50,19,player 1,opp Guess,0
51,19,player 1,opp Guess,0
52,8,player 2,opp Guess,22
53,19,player 2,opp Guess,0
54,4,player 2,opp Guess,30
55,19,player 2,opp Guess,0
56,19,player 2,opp Guess,0
57,12,player 2,opp Guess,14
58,9,player 2,opp Guess,20
59,3,player 1,opp Guess,32
60,6,player 2,opp Guess,26
61,10,player 2,opp Guess,18
62,6,player 2,opp Guess,26
63,6,player 2,opp Guess,26
64,6,player 2,opp Guess,26
65,14,player 2,opp Guess,10
66,10,player 2,opp Guess,18
67,19,player 1,opp Guess,0
68,19,player 1,opp Guess,0
69,19,player 2,opp Guess,0
70,11,player 1,opp Guess,16
71,18,player 1,opp Guess,2
72,6,player 1,opp Guess,26
73,8,player 2,opp Guess,22
74,19,player 2,opp Guess,0
75,19,player 2,opp Guess,0
76,12,player 2,opp Guess,14
77,11,player 2,opp Guess,16
78,12,player 1,opp Guess,14
79,11,player 2,opp Guess,16
80,19,player 1,opp Guess,0
81,9,player 1,opp Guess,20
82,19,player 1,opp Guess,0
83,19,player 1,opp Guess,0
84,19,player 2,opp Guess,0
85,19,player 1,opp Guess,0
86,17,player 1,opp Guess,4
87,19,player 1,opp Guess,0
88,17,player 2,opp Guess,4
89,19,player 1,opp Guess,0
90,19,player 1,opp Guess,0
91,14,player 1,opp Guess,10
92,19,player 1,opp Guess,0
93,11,player 2,opp Guess,16
94,5,player 2,opp Guess,28
95,19,player 2,opp Guess,0
96,9,player 1,opp Guess,20
97,15,player 2,opp Guess,8
98,19,player 2,opp Guess,0
99,12,player 2,opp Guess,14
100,19,player 2,opp Guess,0
101,19,player 2,opp Guess,0
102,6,player 2,opp Guess,26
103,19,player 2,opp Guess,0
104,18,player 2,opp Guess,2
105,14,player 2,opp Guess,10
106,7,player 2,opp Guess,24
107,9,player 1,opp Guess,20
108,19,player 1,opp Guess,0
109,19,player 2,opp Guess,0
110,19,player 2,opp Guess,0
111,7,player 1,opp Guess,24
112,11,player 2,opp Guess,16
113,11,player 1,opp Guess,16
114,19,player 1,opp Guess,0
115,19,player 1,opp Guess,0
116,19,player 1,opp Guess,0
117,16,player 2,opp Guess,6
118,4,player 2,opp Guess,30
119,9,player 1,opp Guess,20
120,10,player 2,opp Guess,18
121,19,player 2,opp Guess,0
122,14,player 2,opp Guess,10
123,19,player 2,opp Guess,0
124,19,player 1,opp Guess,0
125,5,player 1,opp Guess,28
126,8,player 1,opp Guess,22
127,12,player 1,opp Guess,14
128,18,player 2,opp Guess,2
129,15,player 2,opp Guess,8
130,7,player 2,opp Guess,24
131,4,player 2,opp Guess,30
132,7,player 2,opp Guess,24
133,4,player 2,opp Guess,30
134,7,player 1,opp Guess,24
135,10,player 2,opp Guess,18
136,19,player 2,opp Guess,0
137,16,player 2,opp Guess,6
138,9,player 1,opp Guess,20
139,19,player 1,opp Guess,0
140,19,player 2,opp Guess,0
141,19,player 1,opp Guess,0
142,19,player 2,opp Guess,0
143,15,player 1,opp Guess,8
144,19,player 2,opp Guess,0
145,19,player 2,opp Guess,0
146,13,player 2,opp Guess,12
147,17,player 1,opp Guess,4
148,12,player 1,opp Guess,14
149,19,player 2,opp Guess,0
150,14,player 2,opp Guess,10
151,7,player 2,opp Guess,24
152,8,player 2,opp Guess,22
153,7,player 2,opp Guess,24
154,16,player 2,opp Guess,6
155,5,player 2,opp Guess,28
156,7,player 2,opp Guess,24
157,19,player 1,opp Guess,0
158,8,player 1,opp Guess,22
159,6,player 1,opp Guess,26
160,11,player 1,opp Guess,16
161,19,player 2,opp Guess,0
162,10,player 2,opp Guess,18
163,8,player 2,opp Guess,22
164,9,player 2,opp Guess,20
165,4,player 2,opp Guess,30
166,6,player 2,opp Guess,26
167,3,player 2,opp Guess,32
168,19,player 2,opp Guess,0
169,14,player 2,opp Guess,10
170,11,player 2,opp Guess,16
171,19,player 2,opp Guess,0
172,8,player 2,opp Guess,22
173,10,player 2,opp Guess,18
174,14,player 1,opp Guess,10
175,6,player 1,opp Guess,26
176,7,player 1,opp Guess,24
177,15,player 2,opp Guess,8
178,11,player 2,opp Guess,16
179,11,player 2,opp Guess,16
180,7,player 2,opp Guess,24
181,2,player 2,opp Guess,34
182,10,player 2,opp Guess,18
183,5,player 2,opp Guess,28
184,8,player 2,opp Guess,22
185,19,player 1,opp Guess,0
186,13,player 2,opp Guess,12
187,4,player 2,opp Guess,30
188,19,player 2,opp Guess,0
189,12,player 1,opp Guess,14
190,19,player 1,opp Guess,0
191,19,player 2,opp Guess,0
192,19,player 2,opp Guess,0
193,19,player 2,opp Guess,0
194,19,player 1,opp Guess,0
195,10,player 2,opp Guess,18
196,19,player 2,opp Guess,0
197,19,player 1,opp Guess,0
198,16,player 2,opp Guess,6
199,8,player 2,opp Guess,22
200,12,player 2,opp Guess,14
201,9,player 1,opp Guess,20
202,19,player 1,opp Guess,0
203,10,player 2,opp Guess,18
204,19,player 2,opp Guess,0
205,6,player 2,opp Guess,26
206,19,player 2,opp Guess,0
207,19,player 2,opp Guess,0
208,6,player 1,opp Guess,26
209,19,player 1,opp Guess,0
210,6,player 2,opp Guess,26
211,9,player 2,opp Guess,20
